Metric,Value
R2,0.9862451362119036
RMSE,486.8852965777565
Intercept,-348.429376550439
gdp_Coefficient,3.8868652517915e-10
population_Coefficient,1.5335510528342448e-06
pm2_5_Coefficient,8.887935568844933e-14
