Metric,Value
R2,0.9861480991921372
RMSE,488.5997033723445
Intercept,2597.2309746814763
gdp_Std_Coefficient,3333.55202213114
population_Std_Coefficient,781.9200397077848
pm2_5_Std_Coefficient,62.89204134230124
